direction,device,ip,eoj,trigger,gesture1,gesture2,gesture3,gesture4,action
UP_LEFT,LIGHT,,,POINT,POINT,,,,toggle_power
UP_LEFT,LIGHT,,,POINT,OPEN_HAND,,,,color_up
UP_LEFT,LIGHT,,,POINT,FIST,,,,color_down
LEFT,TEST,,,POINT,PEACE,PEACE,PEACE,OPEN_HAND,TEST
,,,,,,,,,
UP,AIRCON,192.168.50.14,013002,POINT,POINT,,,,aircon_toggle_power
UP,AIRCON,192.168.50.14,013002,POINT,OPEN_HAND,,,,aircon_temp_up
UP,AIRCON,192.168.50.14,013002,POINT,FIST,,,,aircon_temp_down
UP,AIRCON,192.168.50.14,013002,POINT,PEACE,OPEN_HAND,,,aircon_cooling
UP,AIRCON,192.168.50.14,013002,POINT,PEACE,FIST,,,aircon_heating
,,,,,,,,,
RIGHT,BRAIND,192.168.50.16,026001,POINT,POINT,,,,braind_toggle_upper
RIGHT,BRAIND,192.168.50.16,026001,POINT,OPEN_HAND,,,,braind_stop
RIGHT,BRAIND,192.168.50.16,026001,POINT,PEACE,OPEN_HAND,,,braind_angle_up
RIGHT,BRAIND,192.168.50.16,026001,POINT,PEACE,FIST,,,braind_angle_down
,,,,,,,,,
DOWN,AIRPURI,192.168.50.15,0F4201,POINT,POINT,,,,airpurifier_toggle_power
DOWN,AIRPURI,192.168.50.15,0F4201,POINT,OPEN_HAND,,,,airpurifier_temp_up
DOWN,AIRPURI,192.168.50.15,0F4201,POINT,FIST,,,,airpurifier_temp_down
DOWN,AIRPURI,192.168.50.15,0F4201,POINT,PEACE,OPEN_HAND,,,airpurifier_cooling
DOWN,AIRPURI,192.168.50.15,0F4201,POINT,PEACE,FIST,,,airpurifier_heating
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
